NBlades 2
Blade 0
	npoints 180
	nsections 20
	section 0
		xss rth_ss r xps rth_ps r
		0.024680 -0.007723 0.197227 0.031118 -0.038730 0.196905
		0.025121 -0.008590 0.197163 0.031487 -0.039484 0.196860
		0.025562 -0.009493 0.197098 0.031854 -0.040241 0.196815
		0.026002 -0.010432 0.197034 0.032217 -0.041001 0.196770
		0.026442 -0.011410 0.196970 0.032578 -0.041766 0.196726
		0.026882 -0.012429 0.196907 0.032935 -0.042533 0.196682
		0.027323 -0.013491 0.196843 0.033290 -0.043304 0.196639
		0.027766 -0.014600 0.196779 0.033641 -0.044078 0.196596
		0.028212 -0.015761 0.196716 0.033989 -0.044855 0.196553
		0.028663 -0.016980 0.196651 0.034334 -0.045635 0.196511
		0.029120 -0.018262 0.196586 0.034676 -0.046417 0.196469
		0.029587 -0.019614 0.196520 0.035014 -0.047202 0.196427
		0.030067 -0.021045 0.196453 0.035349 -0.047989 0.196386
		0.030561 -0.022560 0.196383 0.035681 -0.048778 0.196346
		0.031072 -0.024164 0.196312 0.036009 -0.049569 0.196305
		0.031601 -0.025857 0.196239 0.036333 -0.050362 0.196265
		0.032150 -0.027636 0.196163 0.036654 -0.051157 0.196226
		0.032714 -0.029485 0.196086 0.036972 -0.051953 0.196186
		0.033293 -0.031392 0.196007 0.037285 -0.052751 0.196148
		0.033881 -0.033337 0.195928 0.037595 -0.053551 0.196109
		0.034475 -0.035307 0.195848 0.037902 -0.054354 0.196071
		0.035072 -0.037291 0.195769 0.038207 -0.055162 0.196034
		0.035672 -0.039281 0.195690 0.038513 -0.055984 0.195997
		0.036272 -0.041275 0.195612 0.038784 -0.056719 0.195960
		0.036872 -0.043269 0.195534 0.038955 -0.057191 0.195925
		0.037473 -0.045264 0.195457 0.039031 -0.057395 0.195889
		0.038073 -0.047258 0.195380 0.039058 -0.057462 0.195854
		0.038674 -0.049253 0.195305 0.039073 -0.057501 0.195820
		0.039274 -0.051248 0.195230 0.039085 -0.057530 0.195786
		0.039875 -0.053242 0.195156 0.039098 -0.057557 0.195753
		0.040475 -0.055237 0.195083 0.039110 -0.057581 0.195720
		0.040784 -0.056246 0.195045 0.039122 -0.057604 0.195689
		0.040894 -0.056604 0.195032 0.039135 -0.057628 0.195659
		0.040941 -0.056773 0.195026 0.039149 -0.057650 0.195630
		0.040959 -0.056842 0.195024 0.039163 -0.057673 0.195603
		0.040971 -0.056887 0.195023 0.039178 -0.057695 0.195586
		0.040979 -0.056923 0.195022 0.039193 -0.057717 0.195564
		0.040985 -0.056954 0.195021 0.039209 -0.057738 0.195557
		0.040990 -0.056986 0.195020 0.039226 -0.057759 0.195554
		0.040994 -0.057016 0.195020 0.039243 -0.057779 0.195552
		0.040997 -0.057046 0.195020 0.039261 -0.057799 0.195550
		0.040999 -0.057077 0.195019 0.039279 -0.057819 0.195548
		0.041000 -0.057109 0.195019 0.039298 -0.057838 0.195545
		0.040999 -0.057141 0.195019 0.039317 -0.057856 0.195543
		0.040999 -0.057172 0.195019 0.039337 -0.057874 0.195540
		0.040997 -0.057204 0.195020 0.039357 -0.057892 0.195537
		0.040994 -0.057235 0.195020 0.039378 -0.057909 0.195534
		0.040990 -0.057266 0.195020 0.039399 -0.057925 0.195531
		0.040985 -0.057296 0.195021 0.039420 -0.057941 0.195528
		0.040980 -0.057326 0.195022 0.039442 -0.057956 0.195525
		0.040973 -0.057356 0.195023 0.039465 -0.057970 0.195522
		0.040966 -0.057386 0.195023 0.039487 -0.057984 0.195519
		0.040957 -0.057416 0.195024 0.039510 -0.057998 0.195515
		0.040948 -0.057445 0.195026 0.039534 -0.058011 0.195512
		0.040937 -0.057475 0.195027 0.039558 -0.058023 0.195508
		0.040926 -0.057503 0.195028 0.039582 -0.058034 0.195504
